iter	Passed	Remaining
576	3295	42395
577	3300	42387
578	3305	42370
579	3310	42357
580	3316	42346
581	3321	42329
582	3326	42321
583	3332	42317
584	3337	42301
585	3342	42287
586	3347	42279
587	3352	42264
588	3357	42249
589	3362	42236
590	3367	42219
591	3372	42201
592	3377	42187
593	3382	42171
594	3387	42159
595	3392	42144
596	3397	42135
597	3403	42123
598	3407	42106
599	3413	42096
600	3418	42086
601	3423	42070
602	3428	42060
603	3433	42045
604	3438	42029
605	3443	42019
606	3449	42007
607	3453	41990
608	3458	41975
609	3463	41964
610	3468	41948
611	3473	41932
612	3478	41922
613	3483	41909
614	3488	41894
615	3494	41885
616	3499	41870
617	3503	41853
618	3508	41840
619	3513	41827
620	3518	41811
621	3523	41798
622	3528	41785
623	3533	41770
624	3538	41757
625	3544	41751
626	3549	41734
627	3554	41720
628	3560	41723
629	3565	41708
630	3570	41693
631	3575	41682
632	3580	41667
633	3585	41653
634	3590	41643
635	3595	41631
636	3600	41617
637	3605	41605
638	3610	41591
639	3615	41574
640	3620	41561
641	3625	41549
642	3630	41535
643	3635	41521
644	3640	41512
645	3645	41497
646	3650	41482
647	3655	41472
648	3660	41457
649	3664	41442
650	3669	41429
651	3675	41417
652	3679	41402
653	3684	41390
654	3690	41379
655	3694	41365
656	3699	41352
657	3706	41353
658	3710	41338
659	3715	41324
660	3722	41325
661	3726	41310
662	3731	41295
663	3736	41283
664	3741	41269
665	3746	41254
666	3751	41239
667	3756	41227
668	3760	41211
669	3765	41194
670	3770	41184
671	3775	41170
672	3780	41155
673	3785	41143
674	3790	41130
675	3795	41117
676	3799	41102
677	3805	41092
678	3809	41076
679	3814	41063
680	3819	41052
681	3824	41040
682	3829	41025
683	3834	41015
684	3839	41003
685	3844	40988
686	3849	40979
687	3854	40965
688	3859	40951
689	3864	40938
690	3869	40928
691	3874	40913
692	3878	40899
693	3884	40890
694	3889	40877
695	3893	40864
696	3898	40851
697	3904	40848
698	3909	40835
699	3914	40821
700	3919	40809
701	3924	40796
702	3929	40782
